"Information","Year","Region","TOTAL (vegetables)","Tomatoes","Special tomatoes","Cucumber","Gherkin","Butter-head lettuce","Crisphead lettuce","Chinese cabbage","Bell pepper","Dill","Parsley","Carrot","Onion","Other vegetables","TOTAL (berries)","Strawberry","Other berries"
"Area of greenhouses (1,000 m²)","2014","WHOLE COUNTRY",2250,1040,..,589,57,128,29,16,53,86,88,64,66,34,..,..,..
"Area of greenhouses (1,000 m²)","2015","WHOLE COUNTRY",2164,1037,..,552,72,112,24,10,46,86,60,46,67,52,..,..,..
"Area of greenhouses (1,000 m²)","2016","WHOLE COUNTRY",2192,1062,..,519,72,157,16,9,63,96,51,45,57,45,..,..,..
"Area of greenhouses (1,000 m²)","2017","WHOLE COUNTRY",2215,1044,..,533,54,151,15,9,81,100,77,45,52,55,..,..,..
"Area of greenhouses (1,000 m²)","2018","WHOLE COUNTRY",2162,967,..,524,51,196,11,6,85,76,118,40,45,42,..,..,..
"Area of greenhouses (1,000 m²)","2019","WHOLE COUNTRY",2080,936,245,532,50,150,12,9,82,63,90,36,39,81,53,37,16
"Area of greenhouses (1,000 m²)","2020","WHOLE COUNTRY",2199,978,278,526,53,154,10,5,110,59,126,47,59,73,60,48,13
"Area of greenhouses (1,000 m²)","2021","WHOLE COUNTRY",2083,950,295,480,44,155,9,9,115,69,101,36,45,70,75,51,25
"Area of greenhouses (1,000 m²)","2022","WHOLE COUNTRY",2046,931,296,468,45,155,12,..,124,55,112,32,45,63,79,50,30
"Area of greenhouses (1,000 m²)","2023","WHOLE COUNTRY",1956,825,263,467,44,166,9,3,141,64,107,30,45,57,76,54,22
"Area of greenhouses (1,000 m²)","2024","WHOLE COUNTRY",2008,856,285,474,44,157,9,..,142,57,134,32,26,75,84,65,19
"Area of greenhouses (1,000 m²)","2025","WHOLE COUNTRY",1953,853,263,463,45,135,8,7,129,62,125,29,28,70,78,65,13
"Yield (1,000 kg)","2014","WHOLE COUNTRY",83058,39890,..,38386,680,2601,96,94,520,128,136,186,136,205,95,82,13
"Yield (1,000 kg)","2015","WHOLE COUNTRY",83923,38891,..,40488,888,1879,114,68,487,66,82,116,157,687,82,66,16
"Yield (1,000 kg)","2016","WHOLE COUNTRY",85303,40621,..,39140,1178,2885,32,74,641,130,96,109,146,250,85,58,26
"Yield (1,000 kg)","2017","WHOLE COUNTRY",87322,39386,..,42770,760,2585,26,61,1016,169,161,131,147,110,89,76,13
"Yield (1,000 kg)","2018","WHOLE COUNTRY",89547,39315,..,45459,731,2367,17,40,1056,100,134,97,94,137,210,181,28
"Yield (1,000 kg)","2019","WHOLE COUNTRY",94883,40447,5649,48314,672,3109,15,60,1022,88,165,109,107,775,167,137,30
"Yield (1,000 kg)","2020","WHOLE COUNTRY",100929,41247,6273,54063,733,2845,21,27,1194,104,168,137,145,247,90,58,32
"Yield (1,000 kg)","2021","WHOLE COUNTRY",97686,37988,7405,53089,646,3318,14,45,1139,206,489,116,134,502,260,219,41
"Yield (1,000 kg)","2022","WHOLE COUNTRY",89482,34326,7013,49985,679,2380,26,..,1372,87,130,109,118,245,262,190,72
"Yield (1,000 kg)","2023","WHOLE COUNTRY",90605,33649,6242,50420,636,3330,18,26,1612,109,166,98,144,396,293,244,48
"Yield (1,000 kg)","2024","WHOLE COUNTRY",100855,40943,9703,53750,621,2974,15,..,1600,97,289,103,101,336,282,239,43
"Yield (1,000 kg)","2025","WHOLE COUNTRY",96143,35573,6900,55650,615,2114,17,49,1418,92,130,55,95,335,334,309,25
